robot_id,mean_min_distance,min_min_distance,max_min_distance
robot1,6.733398550724638,0.783,13.552
robot2,5.601351449275362,0.783,12.495
robot3,4.218213768115942,0.738,10.419
robot4,7.966134057971014,0.606,25.448
robot5,4.4935833333333335,0.606,13.194
robot6,4.441297101449275,1.219,13.813
