timestamp,run_id,task_id,robot_id,event,status,allocation_cost,duration,path,collision_flag,message
25.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
25.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
25.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
25.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
25.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
25.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
25.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
26.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
26.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
26.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
26.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
26.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
26.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
26.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
27.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
27.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
27.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
27.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
27.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
27.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
27.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
28.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
28.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
28.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
28.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
28.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
28.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
28.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
29.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
29.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
29.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
29.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
29.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
29.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
29.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
30.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
30.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
30.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
30.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
30.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
30.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
30.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
31.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
31.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
31.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
31.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
31.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
31.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
31.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
32.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
32.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
32.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
32.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
32.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
32.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
32.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
33.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
33.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
33.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
33.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
33.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
33.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
33.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
34.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
34.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
34.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
34.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
34.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
34.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
34.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
35.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
35.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
35.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
35.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
35.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
35.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
35.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
36.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
36.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
36.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
36.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
36.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
36.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
36.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
37.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
37.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
37.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
37.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
37.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
37.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
37.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
38.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
38.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
38.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
38.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
38.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
38.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
38.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
39.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
39.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
39.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
39.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
39.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
39.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
39.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
40.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
40.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
40.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
40.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
40.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
40.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
40.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
41.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
41.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
41.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
41.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
41.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
41.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
41.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
42.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
42.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
42.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
42.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
42.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
42.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
42.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
43.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
43.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
43.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
43.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
43.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
43.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
43.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
44.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
44.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
44.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
44.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
44.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.587,,0,nearest_robot=robot4
44.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot1
44.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.587,,,0,robots_sampled=6
45.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.587,,0,nearest_robot=robot6
45.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.587,,0,nearest_robot=robot1
45.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot4
45.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.587,,0,nearest_robot=robot3
