timestamp,run_id,task_id,robot_id,event,status,allocation_cost,duration,path,collision_flag,message
108.000,ours,task_001,robot_1,ASSIGNED,OK,13.356,,stationa2,0,Task assigned to robot
111.000,ours,task_002,robot_6,ASSIGNED,OK,24.200,,stationa1,0,Task assigned to robot
117.000,ours,task_003,robot_5,ASSIGNED,OK,9.681,,stationc1,0,Task assigned to robot
121.000,ours,task_004,robot_2,ASSIGNED,OK,14.984,,stationb2->stationc4,0,Task assigned to robot
124.010,ours,task_005,robot_4,ASSIGNED,OK,34.866,,stationa4,0,Task assigned to robot
131.000,ours,task_006,robot_3,ASSIGNED,OK,11.153,,stationb1,0,Task assigned to robot
145.000,ours,task_001,robot_1,COMPLETED,OK,13.356,37.000,stationa2,0,Task executed successfully
145.000,ours,task_003,robot_5,COMPLETED,OK,9.681,28.000,stationc1,0,Task executed successfully
145.000,ours,task_008,robot_5,ASSIGNED,OK,16.169,,stationb2,0,Task assigned to robot
145.000,ours,task_007,robot_1,ASSIGNED,OK,24.180,,stationc3,0,Task assigned to robot
160.000,ours,task_006,robot_3,COMPLETED,OK,11.153,29.000,stationb1,0,Task executed successfully
160.000,ours,task_010,robot_3,ASSIGNED,OK,0.426,,stationb1,0,Task assigned to robot
164.000,ours,task_010,robot_3,COMPLETED,OK,0.426,4.000,stationb1,0,Task executed successfully
164.000,ours,task_011,robot_3,ASSIGNED,OK,22.543,,stationa3,0,Task assigned to robot
171.000,ours,task_002,robot_6,COMPLETED,OK,24.200,60.000,stationa1,0,Task executed successfully
171.000,ours,task_012,robot_6,ASSIGNED,OK,24.857,,stationb1,0,Task assigned to robot
187.000,ours,task_004,robot_2,COMPLETED,OK,14.984,66.000,stationb2->stationc4,1,Task executed successfully
187.000,ours,task_013,robot_2,ASSIGNED,OK,23.984,,stationa2,0,Task assigned to robot
207.000,ours,task_005,robot_4,COMPLETED,OK,34.866,82.990,stationa4,1,Task executed successfully
207.000,ours,task_015,robot_4,ASSIGNED,OK,25.914,,stationa4->stationc4,0,Task assigned to robot
208.000,ours,task_007,robot_1,COMPLETED,OK,24.180,63.000,stationc3,0,Task executed successfully
216.000,ours,task_011,robot_3,COMPLETED,OK,22.543,52.000,stationa3,1,Task executed successfully
227.000,ours,task_012,robot_6,COMPLETED,OK,24.857,56.000,stationb1,1,Task executed successfully
227.000,ours,task_009,robot_6,ASSIGNED,OK,27.326,,stationc1->stationb1,0,Task assigned to robot
234.000,ours,task_014,robot_1,ASSIGNED,OK,39.621,,stationb1->stationa3,0,Task assigned to robot
249.000,ours,task_013,robot_2,COMPLETED,OK,23.984,62.000,stationa2,1,Task executed successfully
263.000,ours,park_3,robot_3,COMPLETED,OK,0.000,47.000,stationp3,1,Task executed successfully
283.000,ours,park_2,robot_2,COMPLETED,OK,0.000,34.000,stationp2,0,Task executed successfully
300.000,ours,task_015,robot_4,COMPLETED,OK,25.914,93.000,stationa4->stationc4,1,Task executed successfully
329.000,ours,task_014,robot_1,COMPLETED,OK,39.621,95.000,stationb1->stationa3,0,Task executed successfully
366.000,ours,park_1,robot_1,COMPLETED,OK,0.000,37.000,stationp1,0,Task executed successfully
