timestamp,run_id,task_id,robot_id,event,status,allocation_cost,duration,path,collision_flag,message
102.000,ours,task_001,robot_2,ASSIGNED,OK,3.532,,stationa3,0,Task assigned to robot
104.000,ours,task_002,robot_6,ASSIGNED,OK,10.143,,stationa4,0,Task assigned to robot
110.000,ours,task_003,robot_5,ASSIGNED,OK,13.036,,stationc3,0,Task assigned to robot
113.000,ours,task_004,robot_1,ASSIGNED,OK,15.458,,stationb1->stationc1,0,Task assigned to robot
116.000,ours,task_005,robot_3,ASSIGNED,OK,16.633,,stationa2,0,Task assigned to robot
122.000,ours,task_006,robot_4,ASSIGNED,OK,41.907,,stationb2,0,Task assigned to robot
142.000,ours,task_001,robot_2,COMPLETED,OK,3.532,40.000,stationa3,0,Task executed successfully
142.000,ours,task_007,robot_2,ASSIGNED,OK,3.174,,stationc2,0,Task assigned to robot
151.000,ours,task_002,robot_6,COMPLETED,OK,10.143,47.000,stationa4,0,Task executed successfully
151.000,ours,task_011,robot_6,ASSIGNED,OK,0.549,,stationa4,0,Task assigned to robot
155.000,ours,task_011,robot_6,COMPLETED,OK,0.549,4.000,stationa4,0,Task executed successfully
155.000,ours,task_013,robot_6,ASSIGNED,OK,0.549,,stationa4,0,Task assigned to robot
159.000,ours,task_013,robot_6,COMPLETED,OK,0.549,4.000,stationa4,0,Task executed successfully
160.000,ours,task_007,robot_2,COMPLETED,OK,3.174,18.000,stationc2,0,Task executed successfully
161.000,ours,task_015,robot_6,ASSIGNED,OK,2.611,,stationa4->stationc4,0,Task assigned to robot
163.000,ours,task_003,robot_5,COMPLETED,OK,13.036,53.000,stationc3,0,Task executed successfully
173.000,ours,task_010,robot_2,ASSIGNED,OK,19.275,,stationb1,0,Task assigned to robot
177.000,ours,task_005,robot_3,COMPLETED,OK,16.633,61.000,stationa2,1,Task executed successfully
180.000,ours,task_004,robot_1,COMPLETED,OK,15.458,67.000,stationb1->stationc1,0,Task executed successfully
220.000,ours,task_010,robot_2,COMPLETED,OK,19.275,47.000,stationb1,0,Task executed successfully
220.000,ours,task_008,robot_2,ASSIGNED,OK,0.355,,stationb1,0,Task assigned to robot
224.000,ours,task_008,robot_2,COMPLETED,OK,0.355,4.000,stationb1,0,Task executed successfully
224.000,ours,task_012,robot_2,ASSIGNED,OK,0.355,,stationb1,0,Task assigned to robot
228.000,ours,task_012,robot_2,COMPLETED,OK,0.355,4.000,stationb1,0,Task executed successfully
228.000,ours,task_009,robot_2,ASSIGNED,OK,39.171,,stationc2->stationb1,0,Task assigned to robot
229.000,ours,park_1,robot_1,COMPLETED,OK,0.000,49.000,stationp1,0,Task executed successfully
234.000,ours,task_006,robot_4,COMPLETED,OK,41.907,112.000,stationb2,1,Task executed successfully
234.000,ours,task_014,robot_4,ASSIGNED,OK,2.415,,stationb2->stationa1,0,Task assigned to robot
265.000,ours,task_014,robot_4,COMPLETED,OK,2.415,31.000,stationb2->stationa1,1,Task executed successfully
281.000,ours,park_5,robot_5,COMPLETED,OK,0.000,118.000,stationp5,1,Task executed successfully
286.000,ours,park_3,robot_3,COMPLETED,OK,0.000,109.000,stationp3,1,Task executed successfully
324.000,ours,park_4,robot_4,COMPLETED,OK,0.000,59.000,stationp4,0,Task executed successfully
