curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
original r6 (n=3),51.0,0.4188034188034188,-1.3831622543171878,2.2207690919240255,3
original r6 (n=3),52.0,0.42735042735042733,-1.4113900554257015,2.266090910126556,3
original r6 (n=3),53.0,0.4358974358974359,-1.4396178565342157,2.3114127283290875,3
original r6 (n=3),54.0,0.4444444444444444,-1.46784565764273,2.3567345465316185,3
original r6 (n=3),55.0,0.452991452991453,-1.496073458751244,2.40205636473415,3
original r6 (n=3),56.0,0.4615384615384615,-1.524301259859758,2.447378182936681,3
original r6 (n=3),57.0,0.8034188034188033,-0.9985468697018031,2.6053844765394096,3
original r6 (n=3),58.0,0.8952991452991453,-1.044572064029671,2.835170354627962,3
original r6 (n=3),59.0,1.3205128205128205,0.6293322541252299,2.011693386900411,3
original r6 (n=3),60.0,1.429059829059829,0.5506671148888009,2.3074525432308572,3
original r6 (n=3),61.0,1.5376068376068375,0.418473790349321,2.656739884864354,3
original r6 (n=3),62.0,1.6294871794871792,0.31069487113365657,2.948279487840702,3
original r6 (n=3),63.0,1.7213675213675215,0.1929682065808651,3.249766836154178,3
original r6 (n=3),64.0,1.8132478632478632,0.0688761379359617,3.557619588559765,3
original r6 (n=3),65.0,1.9051282051282052,-0.059483182514223465,3.869739592770634,3
original r6 (n=3),66.0,1.9970085470085468,-0.1908214350970996,4.184838529114193,3
original r6 (n=3),67.0,2.035042735042735,-0.1489010997710909,4.218986569856561,3
original r6 (n=3),68.0,2.0730769230769233,-0.10739408120618643,4.253547927360033,3
original r6 (n=3),69.0,2.111111111111111,-0.06630235704201137,4.288524579264234,3
original r6 (n=3),70.0,2.149145299145299,-0.025627678879527327,4.323918277170126,3
original r6 (n=3),71.0,2.187179487179487,0.01462843266397007,4.359730541695004,3
original r6 (n=3),72.0,2.2252136752136753,0.05446469228563089,4.39596265814172,3
original r6 (n=3),73.0,2.263247863247863,0.09388005368514696,4.432615672810579,3
original r6 (n=3),74.0,2.301282051282051,0.1328737125856967,4.469690389978405,3
original r6 (n=3),75.0,2.3393162393162394,0.17144510906749266,4.507187369564987,3
original r6 (n=3),76.0,2.3773504273504273,0.20959392919819742,4.545106925502657,3
original r6 (n=3),77.0,2.4153846153846157,0.24732010594915943,4.583449124820072,3
original r6 (n=3),78.0,2.4534188034188036,0.2846238193912365,4.622213787446371,3
original r6 (n=3),79.0,2.4914529914529915,0.321505496168875,4.661400486737108,3
original r6 (n=3),80.0,2.5961538461538463,0.5452986761001886,4.6470090162075035,3
original r6 (n=3),81.0,2.7756410256410255,1.024077842815442,4.527204208466609,3
original r6 (n=3),82.0,2.955128205128205,1.5011564489789682,4.409099961277441,3
original r6 (n=3),83.0,3.1346153846153846,1.9752242593756568,4.294006509855112,3
original r6 (n=3),84.0,3.3141025641025643,2.4432206408518122,4.184984487353317,3
original r6 (n=3),85.0,3.493589743589743,2.896282036825003,4.0908974503544835,3
original r6 (n=3),86.0,3.6730769230769234,3.2999666200410562,4.0461872261127905,3
original r6 (n=3),87.0,3.852564102564102,3.527387643917695,4.177740561210509,3
original r6 (n=3),88.0,4.294871794871795,2.759220734997725,5.8305228547458645,3
original r6 (n=3),89.0,4.403846153846154,2.5678888724404243,6.2398034352518845,3
original r6 (n=3),90.0,4.512820512820513,2.3756851100075744,6.649955915633451,3
original r6 (n=3),91.0,4.621794871794872,2.1829324422754337,7.060657301314311,3
original r6 (n=3),92.0,4.730769230769231,1.9898121352199705,7.471726326318491,3
original r6 (n=3),93.0,4.852564102564102,2.2184600604366373,7.486668144691567,3
original r6 (n=3),94.0,4.9743589743589745,2.420759512803247,7.527958435914702,3
original r6 (n=3),95.0,5.096153846153846,2.5941658134969763,7.598141878810715,3
original r6 (n=3),96.0,5.217948717948718,2.736875196012352,7.699022239885084,3
original r6 (n=3),97.0,5.284188034188035,2.762749149497612,7.805626918878458,3
original r6 (n=3),98.0,5.35042735042735,2.7878405020816213,7.913014198773078,3
original r6 (n=3),99.0,5.416666666666667,2.8121863462360137,8.021146987097321,3
original r6 (n=3),100.0,5.482905982905983,2.835822077583549,8.129989888228417,3
original r6 (n=3),101.0,5.549145299145299,2.8587814311463933,8.239509167144204,3
original r6 (n=3),102.0,5.615384615384616,2.8810965250836977,8.349672705685535,3
original r6 (n=3),103.0,5.681623931623932,2.902797910189825,8.460449953058038,3
