curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
original r6 (n=3),88.0,1.7663690476190474,-2.473170001904041,6.005908097142136,3
original r6 (n=3),89.0,1.7886904761904763,-2.4915130952784468,6.068894047659399,3
original r6 (n=3),90.0,1.8110119047619049,-2.510014285616517,6.132038095140327,3
original r6 (n=3),91.0,1.8333333333333333,-2.5286691341801744,6.19533580084684,3
original r6 (n=3),92.0,1.8854166666666667,-2.530819730841526,6.30165306417486,3
original r6 (n=3),93.0,1.9375,-2.538150826418023,6.413150826418023,3
original r6 (n=3),94.0,2.323125,-0.8996476574341838,5.545897657434184,3
original r6 (n=3),95.0,2.3960416666666666,-0.7938333496145278,5.585916682947861,3
original r6 (n=3),96.0,2.4689583333333336,-0.6921276211608389,5.630044287827506,3
original r6 (n=3),97.0,2.541875,-0.594643607966729,5.678393607966729,3
original r6 (n=3),98.0,2.6147916666666666,-0.5014811581608689,5.731064491494202,3
original r6 (n=3),99.0,2.687708333333333,-0.4127249321331985,5.788141598799864,3
original r6 (n=3),100.0,2.8022916666666666,-0.3370628333318595,5.941646166665192,3
original r6 (n=3),101.0,2.9168749999999997,-0.2879902240272414,6.12174022402724,3
original r6 (n=3),102.0,3.031458333333333,-0.26392172307382156,6.326838389740487,3
original r6 (n=3),103.0,3.1460416666666666,-0.262866151480007,6.55494948481334,3
original r6 (n=3),104.0,3.1958101851851857,-0.18725722085887053,6.578877591229242,3
original r6 (n=3),105.0,3.2455787037037034,-0.11194430958163837,6.603101716989045,3
original r6 (n=3),106.0,3.2953472222222224,-0.03693422527446044,6.627628669718906,3
original r6 (n=3),107.0,3.34511574074074,0.037766098563885464,6.652465382917595,3
original r6 (n=3),108.0,3.467800925925926,0.04233711973670973,6.893264732115142,3
original r6 (n=3),109.0,3.5904861111111104,0.029695546424024943,7.151276675798195,3
original r6 (n=3),110.0,3.712996976568405,0.0008048565648883788,7.425189096571922,3
original r6 (n=3),111.0,3.8182501889644747,-0.13196371073968782,7.768464088668637,3
original r6 (n=3),112.0,3.9235034013605445,-0.27510259788025193,8.12210940060134,3
original r6 (n=3),113.0,4.028756613756614,-0.4268777727422064,8.484391000255435,3
original r6 (n=3),114.0,4.134009826152683,-0.5858785413074745,8.85389819361284,3
original r6 (n=3),115.0,4.239263038548754,-0.7509571552168248,9.229483232314333,3
original r6 (n=3),116.0,4.344516250944822,-0.9211776187261931,9.610210120615836,3
original r6 (n=3),117.0,4.449769463340892,-1.095773723918688,9.995312650600471,3
original r6 (n=3),118.0,4.555022675736961,-1.2741152982928536,10.384160649766775,3
original r6 (n=3),119.0,4.6602758881330315,-1.455681335772053,10.776233112038117,3
original r6 (n=3),120.0,4.68709772798008,-1.4397092261095663,10.813904682069726,3
original r6 (n=3),121.0,4.713919567827131,-1.4243455786419261,10.852184714296188,3
original r6 (n=3),122.0,4.725846077561459,-1.417755101403543,10.869447256526461,3
original r6 (n=3),123.0,4.737772587295788,-1.4111659190983694,10.886711093689945,3
original r6 (n=3),124.0,4.749699097030116,-1.404578028357296,10.903976222417528,3
original r6 (n=3),125.0,4.7616256067644445,-1.3979914258220765,10.921242639350965,3
original r6 (n=3),126.0,4.773552116498773,-1.3914061081452918,10.938510341142837,3
original r6 (n=3),127.0,4.785478626233101,-1.3848220719903104,10.955779324456513,3
original r6 (n=3),128.0,4.797405135967431,-1.3782393140312426,10.973049585966104,3
original r6 (n=3),129.0,4.809331645701759,-1.3716578309529126,10.99032112235643,3
original r6 (n=3),130.0,4.821258155436087,-1.3650776194508083,11.007593930322983,3
original r6 (n=3),131.0,4.833184665170417,-1.358498676231048,11.024868006571882,3
original r6 (n=3),132.0,4.845111174904745,-1.3519209980103382,11.042143347819827,3
original r6 (n=3),133.0,4.8570376846390735,-1.3453445815159357,11.059419950794084,3
original r6 (n=3),134.0,4.868964194373402,-1.338769423485612,11.076697812232416,3
original r6 (n=3),135.0,4.88089070410773,-1.3321955206676082,11.09397692888307,3
original r6 (n=3),136.0,4.892817213842059,-1.3256228698205996,11.111257297504718,3
original r6 (n=3),137.0,4.904743723576387,-1.3190514677136598,11.128538914866434,3
original r6 (n=3),138.0,4.9166702333107155,-1.3124813111262208,11.145821777747653,3
original r6 (n=3),139.0,4.928596743045044,-1.3059123968480328,11.16310588293812,3
original r6 (n=3),140.0,4.940523252779372,-1.2993447216791285,11.180391227237873,3
original r6 (n=3),141.0,4.952449762513701,-1.2927782824297882,11.19767780745719,3
original r6 (n=3),142.0,4.964376272248029,-1.2862130759204913,11.21496562041655,3
original r6 (n=3),143.0,4.9763027819823575,-1.2796490989818938,11.232254662946609,3
original r6 (n=3),144.0,4.988229291716686,-1.2730863484547816,11.249544931888153,3
original r6 (n=3),145.0,5.000155801451015,-1.2665248211900355,11.266836424092066,3
original r6 (n=3),146.0,5.012082311185344,-1.2599645140485913,11.284129136419278,3
original r6 (n=3),147.0,5.024008820919672,-1.2534054239014072,11.301423065740751,3
original r6 (n=3),148.0,5.035935330654001,-1.2468475476294296,11.318718208937433,3
original r6 (n=3),149.0,5.04786184038833,-1.2402908821235483,11.336014562900207,3
original r6 (n=3),150.0,5.059788350122658,-1.233735424284565,11.353312124529882,3
original r6 (n=3),151.0,5.071714859856987,-1.2271811710231564,11.37061089073713,3
original r6 (n=3),152.0,5.083641369591315,-1.2206281192598407,11.38791085844247,3
original r6 (n=3),153.0,5.095567879325643,-1.2140762659249313,11.405212024576219,3
original r6 (n=3),154.0,5.107494389059972,-1.2075256079585186,11.422514386078461,3
original r6 (n=3),155.0,5.1194208987943,-1.2009761423104148,11.439817939899015,3
original r6 (n=3),156.0,5.131347408528629,-1.194427865940134,11.45712268299739,3
original r6 (n=3),157.0,5.143273918262957,-1.1878807758168488,11.474428612342763,3
original r6 (n=3),158.0,5.155200427997285,-1.1813348689193548,11.491735724913926,3
original r6 (n=3),159.0,5.167126937731614,-1.1747901422360378,11.509044017699265,3
original r6 (n=3),160.0,5.179053447465943,-1.1682465927648398,11.526353487696726,3
