algo,fleet,scenario,n_runs,completed_mean,completed_std,completed_ci95,completed_ci_lo,completed_ci_hi,completed_min,completed_max,collision_tasks_total,makespan_mean_sec,makespan_ci95_sec
multi_chomp,r2,grouped,3,8.0,2.6457513110645907,6.57241060764698,1.4275893923530196,14.57241060764698,5,10,3,249.33333333333334,85.77772242042393
multi_chomp,r4,grouped,3,12.0,1.7320508075688772,4.302652729696142,7.697347270303858,16.302652729696142,10,13,20,272.0,44.15899788229758
multi_chomp,r6,dynamic,3,8.666666666666666,0.5773502691896257,1.4342175765653806,7.2324490901012854,10.100884243232047,8,9,8,224.99666666666667,82.34345230286304
multi_chomp,r6,grouped,3,9.0,1.7320508075688772,4.302652729696142,4.697347270303858,13.302652729696142,7,10,8,230.67,76.67445876694998
multi_chomp,r6,mixed,3,11.333333333333334,2.516611478423583,6.251609479298303,5.081723854035031,17.58494281263164,9,14,12,235.0,52.57928486117584
multi_chomp,r6,random,3,13.333333333333334,1.5275252316519468,3.794583033549736,9.538750299783597,17.12791636688307,12,15,9,224.33333333333334,54.78260584400416
rolling_chomp,r2,grouped,3,8.0,1.0,2.4841377117195456,5.515862288280454,10.484137711719546,7,9,5,270.6666666666667,39.61660994377084
rolling_chomp,r4,grouped,3,12.666666666666666,3.214550253664318,7.9853855113451635,4.681281155321503,20.65205217801183,9,15,20,259.6666666666667,50.74779828992781
rolling_chomp,r6,dynamic,2,14.5,0.7071067811865476,6.353102368216047,8.146897631783954,20.853102368216046,14,15,9,203.0,76.23722841859257
rolling_chomp,r6,grouped,3,9.0,7.810249675906654,19.40173575786508,-10.40173575786508,28.40173575786508,0,14,12,259.0,216.00548051934558
rolling_chomp,r6,mixed,3,13.666666666666666,1.1547005383792517,2.8684351531307617,10.798231513535905,16.53510181979743,13,15,15,174.66666666666666,45.962142231037916
rolling_chomp,r6,random,4,10.0,6.733003292241386,10.713710725430188,-0.7137107254301878,20.71371072543019,0,14,4,179.0,109.7809006774286
