curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
original r6 (n=3),81.0,4.9409090909090905,-0.37129915072577013,10.253117332543951,3
original r6 (n=3),82.0,5.048484848484848,0.02252970601247739,10.074439990957218,3
original r6 (n=3),83.0,5.156060606060606,0.4135979606492821,9.89852325147193,3
original r6 (n=3),84.0,5.263636363636364,0.801379429143994,9.725893298128733,3
original r6 (n=3),85.0,5.371212121212121,1.185214018840968,9.557210223583274,3
original r6 (n=3),86.0,5.8121212121212125,2.938978339646115,8.68526408459631,3
original r6 (n=3),87.0,5.919696969696969,3.2504646975246594,8.588929241869279,3
original r6 (n=3),88.0,6.027272727272727,3.5403650013439956,8.514180453201458,3
original r6 (n=3),89.0,6.134848484848486,3.803609048606884,8.466087921090088,3
original r6 (n=3),90.0,6.242424242424242,4.034551343406212,8.450297141442272,3
original r6 (n=3),91.0,6.308333333333334,4.16029623165212,8.456370435014547,3
original r6 (n=3),92.0,6.374242424242424,4.279477531332587,8.469007317152261,3
original r6 (n=3),93.0,6.440151515151515,4.391583127881059,8.488719902421971,3
original r6 (n=3),94.0,6.506060606060607,4.49612507662988,8.515996135491333,3
original r6 (n=3),95.0,6.571969696969696,4.5926604381625085,8.551278955776883,3
original r6 (n=3),96.0,6.637878787878788,4.680813289250925,8.594944286506651,3
original r6 (n=3),97.0,6.703787878787878,4.760295788701844,8.647279968873912,3
original r6 (n=3),98.0,6.7696969696969695,4.830925823604113,8.708468115789826,3
original r6 (n=3),99.0,6.905050505050505,4.846787001872313,8.963314008228696,3
original r6 (n=3),100.0,7.040404040404041,4.786701979785337,9.294106101022745,3
original r6 (n=3),101.0,7.172424242424242,4.651178108077007,9.693670376771477,3
original r6 (n=3),102.0,7.276666666666666,4.5388884379849035,10.01444489534843,3
original r6 (n=3),103.0,7.38090909090909,4.409082603146028,10.352735578672153,3
original r6 (n=3),104.0,7.4851515151515144,4.265578375472942,10.704724654830088,3
original r6 (n=3),105.0,7.58939393939394,4.111301759109948,11.06748611967793,3
original r6 (n=3),106.0,7.617105751391466,4.1631875415469635,11.07102396123597,3
original r6 (n=3),107.0,7.644817563388993,4.215037527520533,11.074597599257453,3
original r6 (n=3),108.0,7.672529375386518,4.266850955894759,11.078207794878278,3
original r6 (n=3),109.0,7.700241187384044,4.31862704500388,11.08185532976421,3
original r6 (n=3),110.0,7.727952999381571,4.370364992001452,11.08554100676169,3
original r6 (n=3),111.0,7.755664811379098,4.422063972186784,11.089265650571411,3
original r6 (n=3),112.0,7.783376623376623,4.473723138307801,11.093030108445443,3
original r6 (n=3),113.0,7.81108843537415,4.525341619839464,11.096835250908835,3
original r6 (n=3),114.0,7.838800247371676,4.576918522236923,11.100681972506429,3
original r6 (n=3),115.0,7.866512059369202,4.628452926162486,11.104571192575918,3
original r6 (n=3),116.0,7.894223871366729,4.679943886685491,11.108503856047967,3
original r6 (n=3),117.0,7.921935683364254,4.731390432454151,11.112480934274355,3
original r6 (n=3),118.0,7.949647495361781,4.78279156483838,11.116503425885181,3
original r6 (n=3),119.0,7.977359307359308,4.8341462570426295,11.120572357675986,3
original r6 (n=3),120.0,8.005071119356833,4.885453453187704,11.124688785525962,3
original r6 (n=3),121.0,8.03278293135436,4.936712067360514,11.128853795348206,3
original r6 (n=3),122.0,8.060494743351887,4.987920982630708,11.133068504073066,3
original r6 (n=3),123.0,8.088206555349414,5.039079050033083,11.137334060665745,3
original r6 (n=3),124.0,8.11591836734694,5.090185087514671,11.141651647179208,3
original r6 (n=3),125.0,8.202721088435373,5.211610768339227,11.19383140853152,3
original r6 (n=3),126.0,8.60952380952381,6.7787813051695425,10.440266313878075,3
