algorithm,elapsed_sec,overall_min_distance
original,277.0,0.228
original,278.0,0.228
original,279.0,0.228
original,280.0,0.228
original,281.0,0.228
original,282.0,0.228
original,283.0,0.228
original,284.0,0.446
original,285.0,0.89
ours,0.0,6.49
ours,1.0,6.49
ours,2.0,6.49
ours,3.0,6.49
ours,4.0,6.49
ours,5.0,6.49
ours,6.0,6.49
ours,7.0,6.49
ours,8.0,6.49
ours,9.0,6.49
ours,10.0,6.49
ours,11.0,6.49
ours,12.0,6.49
ours,13.0,6.49
ours,14.0,6.49
ours,15.0,6.49
ours,16.0,6.49
ours,17.0,6.49
ours,18.0,6.49
ours,19.0,6.49
ours,20.0,6.49
ours,21.0,6.49
ours,22.0,6.49
ours,23.0,6.49
ours,24.0,6.49
ours,25.0,6.49
ours,26.0,6.422
ours,27.0,6.361
ours,28.0,6.337
ours,29.0,6.205
ours,30.0,6.091
ours,31.0,5.965
ours,32.0,5.687
ours,33.0,4.958
ours,34.0,4.138
ours,35.0,3.496
ours,36.0,2.965
ours,37.0,2.489
ours,38.0,2.136
ours,39.0,1.965
ours,40.0,2.06
ours,41.0,2.111
ours,42.0,2.148
ours,43.0,2.234
ours,44.0,2.226
ours,45.0,2.232
ours,46.0,2.177
ours,47.0,2.158
ours,48.0,2.122
ours,49.0,2.093
ours,50.0,2.077
ours,51.0,2.062
ours,52.0,2.102
ours,53.0,2.085
ours,54.0,1.887
ours,55.0,1.808
ours,56.0,1.737
ours,57.0,1.882
ours,58.0,2.21
ours,59.0,2.42
ours,60.0,2.63
ours,61.0,2.828
ours,62.0,3.085
ours,63.0,3.399
ours,64.0,3.762
ours,65.0,4.123
ours,66.0,4.53
ours,67.0,4.932
ours,68.0,5.361
ours,69.0,5.449
ours,70.0,5.544
ours,71.0,5.645
ours,72.0,5.78
ours,73.0,5.074
ours,74.0,4.26
ours,75.0,3.464
ours,76.0,2.646
ours,77.0,1.861
ours,78.0,1.125
ours,79.0,0.835
ours,80.0,1.474
ours,81.0,2.315
ours,82.0,3.147
ours,83.0,4.064
ours,84.0,5.057
ours,85.0,5.903
ours,86.0,6.594
ours,87.0,6.87
ours,88.0,6.531
ours,89.0,6.167
ours,90.0,5.774
ours,91.0,5.324
ours,92.0,4.849
ours,93.0,4.383
ours,94.0,3.928
ours,95.0,3.487
ours,96.0,3.063
ours,97.0,2.574
ours,98.0,2.102
ours,99.0,1.75
ours,100.0,1.694
ours,101.0,1.933
ours,102.0,1.661
ours,103.0,1.554
ours,104.0,1.77
ours,105.0,2.257
ours,106.0,2.909
ours,107.0,3.594
ours,108.0,4.326
ours,109.0,5.133
ours,110.0,5.997
ours,111.0,6.583
ours,112.0,6.189
ours,113.0,5.937
ours,114.0,5.832
ours,115.0,5.779
ours,116.0,5.824
ours,117.0,5.974
ours,118.0,6.177
ours,119.0,6.558
ours,120.0,6.918
ours,121.0,6.829
ours,122.0,6.435
ours,123.0,6.05
ours,124.0,5.634
ours,125.0,5.184
ours,126.0,4.703
ours,127.0,4.213
ours,128.0,3.732
ours,129.0,3.241
ours,130.0,2.743
ours,131.0,2.1
ours,132.0,1.412
ours,133.0,0.88
ours,134.0,0.695
ours,135.0,0.987
ours,136.0,1.5
ours,137.0,2.16
ours,138.0,2.796
ours,139.0,3.257
ours,140.0,3.651
ours,141.0,4.145
ours,142.0,3.972
ours,143.0,3.681
ours,144.0,3.397
ours,145.0,3.293
ours,146.0,3.401
ours,147.0,3.711
ours,148.0,4.26
ours,149.0,3.931
ours,150.0,3.142
ours,151.0,2.374
ours,152.0,1.421
ours,153.0,0.691
ours,154.0,0.457
ours,155.0,1.014
ours,156.0,1.735
ours,157.0,2.331
ours,158.0,2.887
ours,159.0,2.232
ours,160.0,1.509
ours,161.0,1.091
ours,162.0,1.145
ours,163.0,1.707
ours,164.0,2.423
ours,165.0,2.137
ours,166.0,1.881
ours,167.0,1.708
ours,168.0,1.589
ours,169.0,1.596
ours,170.0,1.594
ours,171.0,1.589
ours,172.0,1.589
ours,173.0,1.59
ours,174.0,1.59
ours,175.0,1.59
ours,176.0,1.59
ours,177.0,1.59
ours,178.0,1.59
ours,179.0,1.59
ours,180.0,1.59
ours,181.0,1.59
ours,182.0,1.59
ours,183.0,1.59
ours,184.0,1.59
ours,185.0,1.59
ours,186.0,1.59
ours,187.0,1.59
ours,188.0,1.59
ours,189.0,1.59
ours,190.0,1.59
ours,191.0,1.378
ours,192.0,1.165
ours,193.0,1.383
ours,194.0,1.591
ours,195.0,1.591
ours,196.0,1.591
ours,197.0,1.591
ours,198.0,1.591
ours,199.0,1.591
ours,200.0,1.591
ours,201.0,1.591
ours,202.0,1.591
ours,203.0,1.591
ours,204.01,1.591
ours,205.0,1.591
ours,206.0,1.591
ours,207.0,1.591
ours,208.0,1.592
ours,209.0,1.592
ours,210.0,1.592
ours,211.0,1.592
ours,212.0,1.592
ours,213.0,1.592
ours,214.0,1.592
ours,215.0,1.592
ours,216.0,1.592
ours,217.0,1.592
ours,218.0,1.592
ours,219.0,1.592
ours,220.0,1.592
ours,221.0,1.592
ours,222.0,1.592
ours,223.0,1.592
ours,224.0,1.592
ours,225.0,1.593
ours,226.0,1.593
ours,227.0,1.593
ours,228.0,1.593
ours,229.0,1.593
ours,230.0,1.593
ours,231.0,1.593
ours,232.0,1.593
ours,233.0,1.593
ours,234.0,1.593
ours,235.0,1.593
ours,236.0,1.593
ours,237.0,1.593
ours,238.0,1.593
ours,239.0,1.593
ours,240.0,1.593
ours,241.0,1.593
ours,242.0,1.593
ours,243.0,1.594
ours,244.0,1.594
ours,245.0,1.594
ours,246.0,1.594
ours,247.0,1.594
ours,248.0,1.594
ours,249.0,1.594
ours,250.0,1.594
ours,251.0,1.484
ours,252.0,1.314
ours,253.0,1.306
ours,254.0,1.363
ours,255.0,1.358
ours,256.0,1.358
ours,257.0,1.358
ours,258.0,1.358
ours,259.0,1.358
ours,260.0,1.358
ours,261.0,1.358
ours,262.0,1.358
ours,263.0,1.358
ours,264.0,1.358
ours,265.0,1.358
ours,266.0,1.358
ours,267.0,1.358
ours,268.0,1.358
ours,269.0,1.358
ours,270.0,1.358
ours,271.0,1.358
ours,272.0,1.358
ours,273.0,1.358
ours,274.0,1.358
ours,275.0,1.358
ours,276.0,1.358
ours,277.0,1.358
ours,278.0,1.358
ours,279.0,1.358
ours,280.0,1.358
ours,281.0,1.358
ours,282.0,1.358
ours,283.0,1.358
ours,284.0,1.358
ours,285.0,1.358
ours,286.0,1.358
ours,287.0,1.358
